Mes,debt
5/01/2020,16
12/01/2020,22
19/01/2020,17
26/01/2020,29
2/02/2020,26
9/02/2020,28
16/02/2020,30
23/02/2020,37
1/03/2020,33
8/03/2020,31
15/03/2020,32
22/03/2020,30
29/03/2020,40
5/04/2020,40
12/04/2020,39
19/04/2020,45
26/04/2020,47
3/05/2020,44
10/05/2020,32
17/05/2020,27
24/05/2020,19
31/05/2020,20
7/06/2020,27
14/06/2020,19
21/06/2020,20
28/06/2020,21
5/07/2020,20
12/07/2020,21
19/07/2020,22
26/07/2020,20
2/08/2020,18
9/08/2020,17
16/08/2020,16
23/08/2020,19
30/08/2020,22
6/09/2020,26
13/09/2020,33
20/09/2020,41
27/09/2020,41
4/10/2020,40
11/10/2020,39
18/10/2020,42
25/10/2020,46
1/11/2020,39
8/11/2020,46
15/11/2020,47
22/11/2020,30
29/11/2020,44
6/12/2020,45
13/12/2020,37
20/12/2020,11
27/12/2020,15
3/01/2021,19
10/01/2021,19
17/01/2021,25
24/01/2021,29
31/01/2021,28
7/02/2021,31
14/02/2021,37
21/02/2021,47
28/02/2021,44
7/03/2021,37
14/03/2021,37
21/03/2021,34
28/03/2021,33
4/04/2021,31
11/04/2021,37
18/04/2021,44
25/04/2021,48
2/05/2021,45
9/05/2021,43
16/05/2021,26
23/05/2021,25
30/05/2021,24
6/06/2021,20
13/06/2021,23
20/06/2021,22
27/06/2021,19
4/07/2021,18
11/07/2021,22
18/07/2021,21
25/07/2021,22
1/08/2021,22
8/08/2021,19
15/08/2021,18
22/08/2021,23
29/08/2021,23
5/09/2021,30
12/09/2021,32
19/09/2021,27
26/09/2021,34
3/10/2021,39
10/10/2021,45
17/10/2021,40
24/10/2021,37
31/10/2021,41
7/11/2021,40
14/11/2021,44
21/11/2021,29
28/11/2021,45
5/12/2021,49
12/12/2021,47
19/12/2021,20
26/12/2021,14
2/01/2022,33
9/01/2022,35
16/01/2022,38
23/01/2022,51
30/01/2022,37
6/02/2022,56
13/02/2022,65
20/02/2022,51
27/02/2022,62
6/03/2022,60
13/03/2022,78
20/03/2022,62
27/03/2022,73
3/04/2022,76
10/04/2022,74
17/04/2022,79
24/04/2022,80
1/05/2022,100
8/05/2022,64
15/05/2022,51
22/05/2022,36
29/05/2022,36
5/06/2022,43
12/06/2022,78
19/06/2022,46
26/06/2022,43
3/07/2022,37
10/07/2022,48
17/07/2022,44
24/07/2022,66
31/07/2022,35
7/08/2022,30
14/08/2022,31
21/08/2022,30
28/08/2022,35
4/09/2022,41
11/09/2022,58
18/09/2022,80
25/09/2022,69
